year,number,date,month,state
"2008",4,2008-01-01,"January","Rondonia"
"2009",17,2009-01-01,"January","Rondonia"
"2010",18,2010-01-01,"January","Rondonia"
"2011",1,2011-01-01,"January","Rondonia"
"2012",2,2012-01-01,"January","Rondonia"
"2013",7,2013-01-01,"January","Rondonia"
"2014",12,2014-01-01,"January","Rondonia"
"2015",30,2015-01-01,"January","Rondonia"
"2016",93,2016-01-01,"January","Rondonia"
"2017",44,2017-01-01,"January","Rondonia"
"1998",0,1998-01-01,"February","Rondonia"
"1999",1,1999-01-01,"February","Rondonia"
"2000",6,2000-01-01,"February","Rondonia"
"2001",2,2001-01-01,"February","Rondonia"
"2002",8,2002-01-01,"February","Rondonia"
"2003",10,2003-01-01,"February","Rondonia"
"2004",12,2004-01-01,"February","Rondonia"
"2005",42,2005-01-01,"February","Rondonia"
"2006",17,2006-01-01,"February","Rondonia"
"2007",8,2007-01-01,"February","Rondonia"
"2008",7,2008-01-01,"February","Rondonia"
"2009",1,2009-01-01,"February","Rondonia"
"2010",9,2010-01-01,"February","Rondonia"
"2011",2,2011-01-01,"February","Rondonia"
"2012",9,2012-01-01,"February","Rondonia"
"2013",8,2013-01-01,"February","Rondonia"
"2014",5,2014-01-01,"February","Rondonia"
"2015",22,2015-01-01,"February","Rondonia"
"2016",88,2016-01-01,"February","Rondonia"
"2017",10,2017-01-01,"February","Rondonia"
"1998",0,1998-01-01,"March","Rondonia"
"1999",8,1999-01-01,"March","Rondonia"
"2000",9,2000-01-01,"March","Rondonia"
"2001",0,2001-01-01,"March","Rondonia"
"2002",1,2002-01-01,"March","Rondonia"
"2003",13,2003-01-01,"March","Rondonia"
"2004",20,2004-01-01,"March","Rondonia"
"2005",17,2005-01-01,"March","Rondonia"
"2006",15,2006-01-01,"March","Rondonia"
"2007",20,2007-01-01,"March","Rondonia"
"2008",2,2008-01-01,"March","Rondonia"
"2009",12,2009-01-01,"March","Rondonia"
"2010",11,2010-01-01,"March","Rondonia"
"2011",6,2011-01-01,"March","Rondonia"
"2012",6,2012-01-01,"March","Rondonia"
"2013",23,2013-01-01,"March","Rondonia"
"2014",13,2014-01-01,"March","Rondonia"
"2015",15,2015-01-01,"March","Rondonia"
"2016",25,2016-01-01,"March","Rondonia"
"2017",21,2017-01-01,"March","Rondonia"
"1998",0,1998-01-01,"April","Rondonia"
"1999",3,1999-01-01,"April","Rondonia"
"2000",0,2000-01-01,"April","Rondonia"
"2001",0,2001-01-01,"April","Rondonia"
"2002",3,2002-01-01,"April","Rondonia"
"2003",10,2003-01-01,"April","Rondonia"
"2004",14,2004-01-01,"April","Rondonia"
"2005",7,2005-01-01,"April","Rondonia"
"2006",0,2006-01-01,"April","Rondonia"
"2007",0,2007-01-01,"April","Rondonia"
"2008",8,2008-01-01,"April","Rondonia"
"2009",3,2009-01-01,"April","Rondonia"
"2010",19,2010-01-01,"April","Rondonia"
"2011",8,2011-01-01,"April","Rondonia"
"2012",12,2012-01-01,"April","Rondonia"
"2013",9,2013-01-01,"April","Rondonia"
"2014",15,2014-01-01,"April","Rondonia"
"2015",15,2015-01-01,"April","Rondonia"
"2016",59,2016-01-01,"April","Rondonia"
"2017",19,2017-01-01,"April","Rondonia"
"1998",0,1998-01-01,"May","Rondonia"
"1999",3,1999-01-01,"May","Rondonia"
"2000",13,2000-01-01,"May","Rondonia"
"2001",5,2001-01-01,"May","Rondonia"
"2002",10,2002-01-01,"May","Rondonia"
"2003",21,2003-01-01,"May","Rondonia"
"2004",9,2004-01-01,"May","Rondonia"
"2005",38,2005-01-01,"May","Rondonia"
"2006",7,2006-01-01,"May","Rondonia"
"2007",4,2007-01-01,"May","Rondonia"
"2008",1,2008-01-01,"May","Rondonia"
"2009",6,2009-01-01,"May","Rondonia"
"2010",41,2010-01-01,"May","Rondonia"
"2011",54,2011-01-01,"May","Rondonia"
"2012",22,2012-01-01,"May","Rondonia"
"2013",9,2013-01-01,"May","Rondonia"
"2014",28,2014-01-01,"May","Rondonia"
"2015",13,2015-01-01,"May","Rondonia"
"2016",44,2016-01-01,"May","Rondonia"
"2017",31,2017-01-01,"May","Rondonia"
"1998",26,1998-01-01,"June","Rondonia"
"1999",10,1999-01-01,"June","Rondonia"
"2000",54,2000-01-01,"June","Rondonia"
"2001",31,2001-01-01,"June","Rondonia"
"2002",141,2002-01-01,"June","Rondonia"
"2003",74,2003-01-01,"June","Rondonia"
"2004",151,2004-01-01,"June","Rondonia"
"2005",153,2005-01-01,"June","Rondonia"
"2006",40,2006-01-01,"June","Rondonia"
"2007",71,2007-01-01,"June","Rondonia"
"2008",11,2008-01-01,"June","Rondonia"
"2009",13,2009-01-01,"June","Rondonia"
"2010",44,2010-01-01,"June","Rondonia"
"2011",130,2011-01-01,"June","Rondonia"
"2012",32,2012-01-01,"June","Rondonia"
"2013",22,2013-01-01,"June","Rondonia"
"2014",92,2014-01-01,"June","Rondonia"
"2015",119,2015-01-01,"June","Rondonia"
"2016",170,2016-01-01,"June","Rondonia"
"2017",192,2017-01-01,"June","Rondonia"
"1998",365,1998-01-01,"July","Rondonia"
"1999",135,1999-01-01,"July","Rondonia"
"2000",117,2000-01-01,"July","Rondonia"
"2001",74,2001-01-01,"July","Rondonia"
"2002",539,2002-01-01,"July","Rondonia"
"2003",516,2003-01-01,"July","Rondonia"
"2004",1233,2004-01-01,"July","Rondonia"
"2005",798,2005-01-01,"July","Rondonia"
"2006",314,2006-01-01,"July","Rondonia"
"2007",187,2007-01-01,"July","Rondonia"
"2008",138,2008-01-01,"July","Rondonia"
"2009",110,2009-01-01,"July","Rondonia"
"2010",747,2010-01-01,"July","Rondonia"
"2011",293,2011-01-01,"July","Rondonia"
"2012",205,2012-01-01,"July","Rondonia"
"2013",117,2013-01-01,"July","Rondonia"
"2014",192,2014-01-01,"July","Rondonia"
"2015",423,2015-01-01,"July","Rondonia"
"2016",969,2016-01-01,"July","Rondonia"
"2017",1280,2017-01-01,"July","Rondonia"
"1998",2254,1998-01-01,"August","Rondonia"
"1999",1976,1999-01-01,"August","Rondonia"
"2000",2197,2000-01-01,"August","Rondonia"
"2001",2132,2001-01-01,"August","Rondonia"
"2002",3465,2002-01-01,"August","Rondonia"
"2003",7060,2003-01-01,"August","Rondonia"
"2004",6893,2004-01-01,"August","Rondonia"
"2005",6672,2005-01-01,"August","Rondonia"
"2006",3124,2006-01-01,"August","Rondonia"
"2007",4786,2007-01-01,"August","Rondonia"
"2008",1251,2008-01-01,"August","Rondonia"
"2009",484,2009-01-01,"August","Rondonia"
"2010",4388,2010-01-01,"August","Rondonia"
"2011",1161,2011-01-01,"August","Rondonia"
"2012",2209,2012-01-01,"August","Rondonia"
"2013",885,2013-01-01,"August","Rondonia"
"2014",3038,2014-01-01,"August","Rondonia"
"2015",3762,2015-01-01,"August","Rondonia"
"2016",3675,2016-01-01,"August","Rondonia"
"2017",4287,2017-01-01,"August","Rondonia"
"1998",3753,1998-01-01,"September","Rondonia"
"1999",3062,1999-01-01,"September","Rondonia"
"2000",2438,2000-01-01,"September","Rondonia"
"2001",1927,2001-01-01,"September","Rondonia"
"2002",7067,2002-01-01,"September","Rondonia"
"2003",6890,2003-01-01,"September","Rondonia"
"2004",1305,2004-01-01,"September","Rondonia"
"2005",13972,2005-01-01,"September","Rondonia"
"2006",9920,2006-01-01,"September","Rondonia"
"2007",6832,2007-01-01,"September","Rondonia"
"2008",3726,2008-01-01,"September","Rondonia"
"2009",1869,2009-01-01,"September","Rondonia"
"2010",4893,2010-01-01,"September","Rondonia"
"2011",1782,2011-01-01,"September","Rondonia"
"2012",2471,2012-01-01,"September","Rondonia"
"2013",1776,2013-01-01,"September","Rondonia"
"2014",2800,2014-01-01,"September","Rondonia"
"2015",6129,2015-01-01,"September","Rondonia"
"2016",4208,2016-01-01,"September","Rondonia"
"2017",5638,2017-01-01,"September","Rondonia"
"1998",483,1998-01-01,"October","Rondonia"
"1999",1884,1999-01-01,"October","Rondonia"
"2000",644,2000-01-01,"October","Rondonia"
"2001",796,2001-01-01,"October","Rondonia"
"2002",3554,2002-01-01,"October","Rondonia"
"2003",4962,2003-01-01,"October","Rondonia"
"2004",3094,2004-01-01,"October","Rondonia"
"2005",2559,2005-01-01,"October","Rondonia"
"2006",1148,2006-01-01,"October","Rondonia"
"2007",2023,2007-01-01,"October","Rondonia"
"2008",1482,2008-01-01,"October","Rondonia"
"2009",1444,2009-01-01,"October","Rondonia"
"2010",1307,2010-01-01,"October","Rondonia"
"2011",822,2011-01-01,"October","Rondonia"
"2012",1229,2012-01-01,"October","Rondonia"
"2013",555,2013-01-01,"October","Rondonia"
"2014",1063,2014-01-01,"October","Rondonia"
"2015",2598,2015-01-01,"October","Rondonia"
"2016",1844,2016-01-01,"October","Rondonia"
"2017",2190,2017-01-01,"October","Rondonia"
"1998",3,1998-01-01,"November","Rondonia"
"1999",41,1999-01-01,"November","Rondonia"
"2000",13,2000-01-01,"November","Rondonia"
"2001",91,2001-01-01,"November","Rondonia"
"2002",639,2002-01-01,"November","Rondonia"
"2003",526,2003-01-01,"November","Rondonia"
"2004",452,2004-01-01,"November","Rondonia"
"2005",465,2005-01-01,"November","Rondonia"
"2006",253,2006-01-01,"November","Rondonia"
"2007",53,2007-01-01,"November","Rondonia"
"2008",78,2008-01-01,"November","Rondonia"
"2009",128,2009-01-01,"November","Rondonia"
"2010",238,2010-01-01,"November","Rondonia"
"2011",245,2011-01-01,"November","Rondonia"
"2012",174,2012-01-01,"November","Rondonia"
"2013",108,2013-01-01,"November","Rondonia"
"2014",202,2014-01-01,"November","Rondonia"
"2015",1002,2015-01-01,"November","Rondonia"
"2016",401,2016-01-01,"November","Rondonia"
"2017",372,2017-01-01,"November","Rondonia"
"1998",33,1998-01-01,"December","Rondonia"
"1999",0,1999-01-01,"December","Rondonia"
"2000",7,2000-01-01,"December","Rondonia"
"2001",1,2001-01-01,"December","Rondonia"
"2002",91,2002-01-01,"December","Rondonia"
"2003",214,2003-01-01,"December","Rondonia"
"2004",208,2004-01-01,"December","Rondonia"
"2005",36,2005-01-01,"December","Rondonia"
"2006",4,2006-01-01,"December","Rondonia"
"2007",6,2007-01-01,"December","Rondonia"
"2008",2,2008-01-01,"December","Rondonia"
"2009",9,2009-01-01,"December","Rondonia"
"2010",158,2010-01-01,"December","Rondonia"
"2011",37,2011-01-01,"December","Rondonia"
"2012",50,2012-01-01,"December","Rondonia"
"2013",143,2013-01-01,"December","Rondonia"
"2014",144,2014-01-01,"December","Rondonia"
"2015",282,2015-01-01,"December","Rondonia"
"2016",148,2016-01-01,"December","Rondonia"
"1998",0,1998-01-01,"January","Roraima"
"1999",15,1999-01-01,"January","Roraima"
"2000",18,2000-01-01,"January","Roraima"
"2001",101,2001-01-01,"January","Roraima"
"2002",302,2002-01-01,"January","Roraima"
"2003",547,2003-01-01,"January","Roraima"
"2004",355,2004-01-01,"January","Roraima"
"2005",106,2005-01-01,"January","Roraima"
"2006",70,2006-01-01,"January","Roraima"
"2007",194,2007-01-01,"January","Roraima"
"2008",245,2008-01-01,"January","Roraima"
"2009",45,2009-01-01,"January","Roraima"
"2010",351,2010-01-01,"January","Roraima"
"2011",225,2011-01-01,"January","Roraima"
"2012",217,2012-01-01,"January","Roraima"
"2013",397,2013-01-01,"January","Roraima"
"2014",355,2014-01-01,"January","Roraima"
"2015",330,2015-01-01,"January","Roraima"
"2016",1754,2016-01-01,"January","Roraima"
"2017",108,2017-01-01,"January","Roraima"
"1998",0,1998-01-01,"February","Roraima"
"1999",20,1999-01-01,"February","Roraima"
"2000",57,2000-01-01,"February","Roraima"
"2001",646,2001-01-01,"February","Roraima"
"2002",476,2002-01-01,"February","Roraima"
"2003",767,2003-01-01,"February","Roraima"
"2004",259,2004-01-01,"February","Roraima"
"2005",105,2005-01-01,"February","Roraima"
"2006",283,2006-01-01,"February","Roraima"
"2007",796,2007-01-01,"February","Roraima"
"2008",138,2008-01-01,"February","Roraima"
"2009",153,2009-01-01,"February","Roraima"
"2010",470,2010-01-01,"February","Roraima"
"2011",112,2011-01-01,"February","Roraima"
"2012",130,2012-01-01,"February","Roraima"
"2013",62,2013-01-01,"February","Roraima"
"2014",226,2014-01-01,"February","Roraima"
"2015",418,2015-01-01,"February","Roraima"
"2016",171,2016-01-01,"February","Roraima"
"2017",129,2017-01-01,"February","Roraima"
"1998",0,1998-01-01,"March","Roraima"
"1999",98,1999-01-01,"March","Roraima"
"2000",125,2000-01-01,"March","Roraima"
"2001",1108,2001-01-01,"March","Roraima"
"2002",820,2002-01-01,"March","Roraima"
"2003",1131,2003-01-01,"March","Roraima"
"2004",276,2004-01-01,"March","Roraima"
"2005",244,2005-01-01,"March","Roraima"
"2006",385,2006-01-01,"March","Roraima"
"2007",665,2007-01-01,"March","Roraima"
"2008",422,2008-01-01,"March","Roraima"
"2009",176,2009-01-01,"March","Roraima"
"2010",417,2010-01-01,"March","Roraima"
"2011",91,2011-01-01,"March","Roraima"
"2012",99,2012-01-01,"March","Roraima"
"2013",179,2013-01-01,"March","Roraima"
"2014",494,2014-01-01,"March","Roraima"
"2015",163,2015-01-01,"March","Roraima"
"2016",1081,2016-01-01,"March","Roraima"
"2017",216,2017-01-01,"March","Roraima"
"1998",0,1998-01-01,"April","Roraima"
"1999",16,1999-01-01,"April","Roraima"
"2000",0,2000-01-01,"April","Roraima"
"2001",380,2001-01-01,"April","Roraima"
"2002",41,2002-01-01,"April","Roraima"
"2003",268,2003-01-01,"April","Roraima"
"2004",182,2004-01-01,"April","Roraima"
"2005",22,2005-01-01,"April","Roraima"
"2006",201,2006-01-01,"April","Roraima"
"2007",58,2007-01-01,"April","Roraima"
"2008",175,2008-01-01,"April","Roraima"
"2009",115,2009-01-01,"April","Roraima"
"2010",15,2010-01-01,"April","Roraima"
"2011",108,2011-01-01,"April","Roraima"
"2012",25,2012-01-01,"April","Roraima"
"2013",87,2013-01-01,"April","Roraima"
"2014",162,2014-01-01,"April","Roraima"
"2015",278,2015-01-01,"April","Roraima"
"2016",126,2016-01-01,"April","Roraima"
"2017",51,2017-01-01,"April","Roraima"
"1998",0,1998-01-01,"May","Roraima"
"1999",0,1999-01-01,"May","Roraima"
"2000",7,2000-01-01,"May","Roraima"
"2001",9,2001-01-01,"May","Roraima"
"2002",0,2002-01-01,"May","Roraima"
"2003",0,2003-01-01,"May","Roraima"
"2004",2,2004-01-01,"May","Roraima"
"2005",1,2005-01-01,"May","Roraima"
"2006",0,2006-01-01,"May","Roraima"
"2007",0,2007-01-01,"May","Roraima"
"2008",8,2008-01-01,"May","Roraima"
"2009",219,2009-01-01,"May","Roraima"
"2010",3,2010-01-01,"May","Roraima"
"2011",4,2011-01-01,"May","Roraima"
"2012",18,2012-01-01,"May","Roraima"
"2013",4,2013-01-01,"May","Roraima"
"2014",58,2014-01-01,"May","Roraima"
"2015",12,2015-01-01,"May","Roraima"
"2016",22,2016-01-01,"May","Roraima"
"2017",29,2017-01-01,"May","Roraima"
"1998",0,1998-01-01,"June","Roraima"
"1999",3,1999-01-01,"June","Roraima"
"2000",0,2000-01-01,"June","Roraima"
"2001",1,2001-01-01,"June","Roraima"
"2002",0,2002-01-01,"June","Roraima"
"2003",0,2003-01-01,"June","Roraima"
"2004",6,2004-01-01,"June","Roraima"
"2005",5,2005-01-01,"June","Roraima"
"2006",0,2006-01-01,"June","Roraima"
"2007",1,2007-01-01,"June","Roraima"
"2008",0,2008-01-01,"June","Roraima"
"2009",16,2009-01-01,"June","Roraima"
"2010",0,2010-01-01,"June","Roraima"
"2011",6,2011-01-01,"June","Roraima"
"2012",22,2012-01-01,"June","Roraima"
"2013",6,2013-01-01,"June","Roraima"
"2014",4,2014-01-01,"June","Roraima"
"2015",3,2015-01-01,"June","Roraima"
"2016",7,2016-01-01,"June","Roraima"
"2017",4,2017-01-01,"June","Roraima"
"1998",1,1998-01-01,"July","Roraima"
"1999",4,1999-01-01,"July","Roraima"
"2000",0,2000-01-01,"July","Roraima"
"2001",1,2001-01-01,"July","Roraima"
"2002",7,2002-01-01,"July","Roraima"
"2003",0,2003-01-01,"July","Roraima"
"2004",2,2004-01-01,"July","Roraima"
"2005",2,2005-01-01,"July","Roraima"
"2006",0,2006-01-01,"July","Roraima"
"2007",3,2007-01-01,"July","Roraima"
"2008",0,2008-01-01,"July","Roraima"
"2009",18,2009-01-01,"July","Roraima"
"2010",1,2010-01-01,"July","Roraima"
"2011",9,2011-01-01,"July","Roraima"
"2012",2,2012-01-01,"July","Roraima"
"2013",4,2013-01-01,"July","Roraima"
"2014",9,2014-01-01,"July","Roraima"
"2015",5,2015-01-01,"July","Roraima"
"2016",0,2016-01-01,"July","Roraima"
"2017",3,2017-01-01,"July","Roraima"
"1998",0,1998-01-01,"August","Roraima"
"1999",1,1999-01-01,"August","Roraima"
"2000",9,2000-01-01,"August","Roraima"
"2001",4,2001-01-01,"August","Roraima"
"2002",7,2002-01-01,"August","Roraima"
"2003",2,2003-01-01,"August","Roraima"
"2004",18,2004-01-01,"August","Roraima"
"2005",9,2005-01-01,"August","Roraima"
"2006",4,2006-01-01,"August","Roraima"
"2007",2,2007-01-01,"August","Roraima"
"2008",4,2008-01-01,"August","Roraima"
"2009",29,2009-01-01,"August","Roraima"
"2010",3,2010-01-01,"August","Roraima"
"2011",39,2011-01-01,"August","Roraima"
"2012",4,2012-01-01,"August","Roraima"
"2013",3,2013-01-01,"August","Roraima"
"2014",12,2014-01-01,"August","Roraima"
"2015",11,2015-01-01,"August","Roraima"
"2016",11,2016-01-01,"August","Roraima"
"2017",35,2017-01-01,"August","Roraima"
"1998",2,1998-01-01,"September","Roraima"
"1999",3,1999-01-01,"September","Roraima"
"2000",12,2000-01-01,"September","Roraima"
"2001",1,2001-01-01,"September","Roraima"
"2002",48,2002-01-01,"September","Roraima"
"2003",6,2003-01-01,"September","Roraima"
"2004",9,2004-01-01,"September","Roraima"
"2005",72,2005-01-01,"September","Roraima"
"2006",40,2006-01-01,"September","Roraima"
"2007",9,2007-01-01,"September","Roraima"
"2008",17,2008-01-01,"September","Roraima"
"2009",117,2009-01-01,"September","Roraima"
"2010",18,2010-01-01,"September","Roraima"
"2011",53,2011-01-01,"September","Roraima"
"2012",67,2012-01-01,"September","Roraima"
"2013",18,2013-01-01,"September","Roraima"
"2014",67,2014-01-01,"September","Roraima"
"2015",77,2015-01-01,"September","Roraima"
"2016",19,2016-01-01,"September","Roraima"
"2017",43,2017-01-01,"September","Roraima"
"1998",1,1998-01-01,"October","Roraima"
"1999",10,1999-01-01,"October","Roraima"
"2000",25,2000-01-01,"October","Roraima"
"2001",13,2001-01-01,"October","Roraima"
"2002",191,2002-01-01,"October","Roraima"
"2003",14,2003-01-01,"October","Roraima"
"2004",53,2004-01-01,"October","Roraima"
"2005",88,2005-01-01,"October","Roraima"
"2006",135,2006-01-01,"October","Roraima"
"2007",15,2007-01-01,"October","Roraima"
"2008",78,2008-01-01,"October","Roraima"
"2009",197,2009-01-01,"October","Roraima"
"2010",64,2010-01-01,"October","Roraima"
"2011",65,2011-01-01,"October","Roraima"
"2012",152,2012-01-01,"October","Roraima"
"2013",63,2013-01-01,"October","Roraima"
"2014",61,2014-01-01,"October","Roraima"
"2015",181,2015-01-01,"October","Roraima"
"2016",101,2016-01-01,"October","Roraima"
"2017",156,2017-01-01,"October","Roraima"
"1998",1,1998-01-01,"November","Roraima"
"1999",15,1999-01-01,"November","Roraima"
"2000",32,2000-01-01,"November","Roraima"
"2001",76,2001-01-01,"November","Roraima"
"2002",133,2002-01-01,"November","Roraima"
"2003",27,2003-01-01,"November","Roraima"
"2004",135,2004-01-01,"November","Roraima"
"2005",135,2005-01-01,"November","Roraima"
"2006",26,2006-01-01,"November","Roraima"
"2007",112,2007-01-01,"November","Roraima"
"2008",39,2008-01-01,"November","Roraima"
"2009",312,2009-01-01,"November","Roraima"
"2010",27,2010-01-01,"November","Roraima"
"2011",121,2011-01-01,"November","Roraima"
"2012",187,2012-01-01,"November","Roraima"
"2013",106,2013-01-01,"November","Roraima"
"2014",143,2014-01-01,"November","Roraima"
"2015",280,2015-01-01,"November","Roraima"
"2016",71,2016-01-01,"November","Roraima"
"2017",327,2017-01-01,"November","Roraima"
"1998",16,1998-01-01,"December","Roraima"
"1999",35,1999-01-01,"December","Roraima"
"2000",77,2000-01-01,"December","Roraima"
"2001",76,2001-01-01,"December","Roraima"
"2002",199,2002-01-01,"December","Roraima"
"2003",157,2003-01-01,"December","Roraima"
"2004",160,2004-01-01,"December","Roraima"
"2005",71,2005-01-01,"December","Roraima"
"2006",101,2006-01-01,"December","Roraima"
"2007",8,2007-01-01,"December","Roraima"
"2008",5,2008-01-01,"December","Roraima"
"2009",290,2009-01-01,"December","Roraima"
"2010",73,2010-01-01,"December","Roraima"
"2011",249,2011-01-01,"December","Roraima"
"2012",78,2012-01-01,"December","Roraima"
"2013",65,2013-01-01,"December","Roraima"
"2014",277,2014-01-01,"December","Roraima"
"2015",304,2015-01-01,"December","Roraima"
"2016",136,2016-01-01,"December","Roraima"
"1998",0,1998-01-01,"January","Santa Catarina"
"1999",11,1999-01-01,"January","Santa Catarina"
"2000",14,2000-01-01,"January","Santa Catarina"
"2001",11,2001-01-01,"January","Santa Catarina"
"2002",22,2002-01-01,"January","Santa Catarina"
"2003",45,2003-01-01,"January","Santa Catarina"
"2004",37,2004-01-01,"January","Santa Catarina"
"2005",46,2005-01-01,"January","Santa Catarina"
"2006",41,2006-01-01,"January","Santa Catarina"
"2007",9,2007-01-01,"January","Santa Catarina"
"2008",25,2008-01-01,"January","Santa Catarina"
"2009",21,2009-01-01,"January","Santa Catarina"
"2010",2,2010-01-01,"January","Santa Catarina"
"2011",9,2011-01-01,"January","Santa Catarina"
"2012",14,2012-01-01,"January","Santa Catarina"
"2013",18,2013-01-01,"January","Santa Catarina"
"2014",58,2014-01-01,"January","Santa Catarina"
"2015",28,2015-01-01,"January","Santa Catarina"
"2016",53,2016-01-01,"January","Santa Catarina"
"2017",46,2017-01-01,"January","Santa Catarina"
"1998",0,1998-01-01,"February","Santa Catarina"
"1999",2,1999-01-01,"February","Santa Catarina"
"2000",8,2000-01-01,"February","Santa Catarina"
"2001",0,2001-01-01,"February","Santa Catarina"
"2002",5,2002-01-01,"February","Santa Catarina"
"2003",43,2003-01-01,"February","Santa Catarina"
"2004",29,2004-01-01,"February","Santa Catarina"
"2005",46,2005-01-01,"February","Santa Catarina"
"2006",18,2006-01-01,"February","Santa Catarina"
"2007",14,2007-01-01,"February","Santa Catarina"
"2008",29,2008-01-01,"February","Santa Catarina"
"2009",7,2009-01-01,"February","Santa Catarina"
"2010",15,2010-01-01,"February","Santa Catarina"
"2011",1,2011-01-01,"February","Santa Catarina"
"2012",13,2012-01-01,"February","Santa Catarina"
"2013",12,2013-01-01,"February","Santa Catarina"
"2014",27,2014-01-01,"February","Santa Catarina"
"2015",23,2015-01-01,"February","Santa Catarina"
"2016",10,2016-01-01,"February","Santa Catarina"
"2017",31,2017-01-01,"February","Santa Catarina"
"1998",0,1998-01-01,"March","Santa Catarina"
"1999",7,1999-01-01,"March","Santa Catarina"
"2000",46,2000-01-01,"March","Santa Catarina"
"2001",1,2001-01-01,"March","Santa Catarina"
"2002",12,2002-01-01,"March","Santa Catarina"
"2003",58,2003-01-01,"March","Santa Catarina"
"2004",73,2004-01-01,"March","Santa Catarina"
"2005",92,2005-01-01,"March","Santa Catarina"
"2006",48,2006-01-01,"March","Santa Catarina"
"2007",23,2007-01-01,"March","Santa Catarina"
"2008",14,2008-01-01,"March","Santa Catarina"
"2009",33,2009-01-01,"March","Santa Catarina"
"2010",9,2010-01-01,"March","Santa Catarina"
"2011",8,2011-01-01,"March","Santa Catarina"
"2012",65,2012-01-01,"March","Santa Catarina"
"2013",14,2013-01-01,"March","Santa Catarina"
"2014",15,2014-01-01,"March","Santa Catarina"
"2015",37,2015-01-01,"March","Santa Catarina"
"2016",21,2016-01-01,"March","Santa Catarina"
"2017",12,2017-01-01,"March","Santa Catarina"
"1998",0,1998-01-01,"April","Santa Catarina"
"1999",0,1999-01-01,"April","Santa Catarina"
"2000",7,2000-01-01,"April","Santa Catarina"
"2001",1,2001-01-01,"April","Santa Catarina"
"2002",7,2002-01-01,"April","Santa Catarina"
"2003",120,2003-01-01,"April","Santa Catarina"
"2004",59,2004-01-01,"April","Santa Catarina"
"2005",25,2005-01-01,"April","Santa Catarina"
"2006",30,2006-01-01,"April","Santa Catarina"
"2007",2,2007-01-01,"April","Santa Catarina"
"2008",31,2008-01-01,"April","Santa Catarina"
"2009",57,2009-01-01,"April","Santa Catarina"
"2010",19,2010-01-01,"April","Santa Catarina"
"2011",5,2011-01-01,"April","Santa Catarina"
"2012",40,2012-01-01,"April","Santa Catarina"
"2013",46,2013-01-01,"April","Santa Catarina"
"2014",34,2014-01-01,"April","Santa Catarina"
"2015",32,2015-01-01,"April","Santa Catarina"
"2016",36,2016-01-01,"April","Santa Catarina"
"2017",26,2017-01-01,"April","Santa Catarina"
"1998",0,1998-01-01,"May","Santa Catarina"
"1999",1,1999-01-01,"May","Santa Catarina"
"2000",0,2000-01-01,"May","Santa Catarina"
"2001",2,2001-01-01,"May","Santa Catarina"
"2002",3,2002-01-01,"May","Santa Catarina"
"2003",84,2003-01-01,"May","Santa Catarina"
"2004",2,2004-01-01,"May","Santa Catarina"
"2005",21,2005-01-01,"May","Santa Catarina"
"2006",33,2006-01-01,"May","Santa Catarina"
"2007",2,2007-01-01,"May","Santa Catarina"
"2008",15,2008-01-01,"May","Santa Catarina"
"2009",33,2009-01-01,"May","Santa Catarina"
"2010",1,2010-01-01,"May","Santa Catarina"
"2011",16,2011-01-01,"May","Santa Catarina"
"2012",60,2012-01-01,"May","Santa Catarina"
"2013",52,2013-01-01,"May","Santa Catarina"
"2014",42,2014-01-01,"May","Santa Catarina"
"2015",70,2015-01-01,"May","Santa Catarina"
"2016",26,2016-01-01,"May","Santa Catarina"
"2017",36,2017-01-01,"May","Santa Catarina"
"1998",2,1998-01-01,"June","Santa Catarina"
"1999",0,1999-01-01,"June","Santa Catarina"
"2000",2,2000-01-01,"June","Santa Catarina"
"2001",1,2001-01-01,"June","Santa Catarina"
"2002",0,2002-01-01,"June","Santa Catarina"
"2003",68,2003-01-01,"June","Santa Catarina"
"2004",127,2004-01-01,"June","Santa Catarina"
"2005",58,2005-01-01,"June","Santa Catarina"
"2006",32,2006-01-01,"June","Santa Catarina"
"2007",11,2007-01-01,"June","Santa Catarina"
"2008",2,2008-01-01,"June","Santa Catarina"
"2009",14,2009-01-01,"June","Santa Catarina"
"2010",1,2010-01-01,"June","Santa Catarina"
"2011",26,2011-01-01,"June","Santa Catarina"
"2012",42,2012-01-01,"June","Santa Catarina"
"2013",31,2013-01-01,"June","Santa Catarina"
"2014",3,2014-01-01,"June","Santa Catarina"
"2015",104,2015-01-01,"June","Santa Catarina"
"2016",79,2016-01-01,"June","Santa Catarina"
"2017",70,2017-01-01,"June","Santa Catarina"
"1998",0,1998-01-01,"July","Santa Catarina"
"1999",2,1999-01-01,"July","Santa Catarina"
"2000",21,2000-01-01,"July","Santa Catarina"
"2001",5,2001-01-01,"July","Santa Catarina"
"2002",82,2002-01-01,"July","Santa Catarina"
"2003",43,2003-01-01,"July","Santa Catarina"
"2004",94,2004-01-01,"July","Santa Catarina"
"2005",90,2005-01-01,"July","Santa Catarina"
"2006",74,2006-01-01,"July","Santa Catarina"
"2007",12,2007-01-01,"July","Santa Catarina"
"2008",46,2008-01-01,"July","Santa Catarina"
"2009",26,2009-01-01,"July","Santa Catarina"
"2010",31,2010-01-01,"July","Santa Catarina"
"2011",31,2011-01-01,"July","Santa Catarina"
"2012",42,2012-01-01,"July","Santa Catarina"
"2013",69,2013-01-01,"July","Santa Catarina"
